date,temperature,dewpoint,windspeed
2023-01-05,18.4,10.1,12.3
2023-01-18,20.2,11.3,10.8
2023-02-09,22.1,12.7,14.5
2023-02-25,24.0,13.5,13.2
2023-03-10,27.3,15.8,11.6
2023-03-28,29.1,16.2,12.9
2023-04-12,31.4,18.0,10.2
2023-04-26,32.0,18.5,9.8
2023-05-08,34.2,20.1,8.9
2023-05-24,35.1,21.0,9.4
2023-06-11,33.8,22.4,11.1
2023-06-27,32.5,21.9,12.0
2024-01-07,17.9,9.7,13.0
2024-01-22,19.3,10.9,11.7
2024-02-06,21.6,12.1,14.1
2024-02-20,23.4,13.0,13.4
2024-03-14,26.8,15.2,12.4
2024-03-29,28.7,16.0,11.3
2024-04-10,30.9,17.6,10.5
2024-04-24,31.7,18.1,9.9
2024-05-09,33.6,19.8,9.1
2024-05-23,34.8,20.7,8.7
2024-06-13,32.9,22.0,11.4
2024-06-28,31.6,21.4,12.2
